user,item,rating
A2P1Z9NUJ9H1RT,0634055534,5.0
A370T379VAAP4B,0739040251,4.0
A1ZMV5QSAR8V2L,0739040375,5.0
A3DMR234MWQYSE,0739040375,5.0
A1WHGNU87BGJ2S,0739042726,4.0
A1ZMV5QSAR8V2L,0739045067,5.0
A3P7WNM0UHV4YQ,0739046500,1.0
A2S1Q1HYXCZX00,0739057561,5.0
A396ELNTQDFYPO,0739059114,5.0
A19OOIXU7I2DVJ,0739064525,5.0
A1DZDG9AT98298,0739079883,4.0
A1M8AYAL3L8ACP,0767851013,5.0
A39CX0EE4BZCZC,0767851013,5.0
A324A25PC1DFMF,0767851013,4.0
A2IBPI20UZIR0U,1384719342,5.0
A195EZSQDW3E21,1384719342,5.0
A328S9RN3U5M68,1417030321,5.0
A16CZRQL23NOIW,1417030321,4.0
A2B31B207ZW07K,1417030321,5.0
A21511FPK8BSFA,1417030321,4.0
A19OOIXU7I2DVJ,189388404X,5.0
A2I68YUPOE32TF,9792372326,5.0
A3CN9CCJUNIPKT,B0000001L6,5.0
A2AIMXT9PLAM12,B00000079L,5.0
A2U49LUUY4IKQQ,B0000008BR,5.0
AYOPOFV2QKC31,B000000A4C,3.0
A2AIMXT9PLAM12,B000000A4C,3.0
AYOPOFV2QKC31,B000000A4H,5.0
AYOPOFV2QKC31,B000000A4N,4.0
AZC562U18BK2S,B000000A61,5.0
AZC562U18BK2S,B000000A6C,5.0
A3JV7KL1ECLZB8,B000000AGC,5.0
AZC562U18BK2S,B000000AKC,5.0
AUEHG0DB54B7K,B000000AMS,5.0
A30IQE4G73MT80,B000000ARE,4.0
A33GGROUQRQZS,B000000ATC,3.0
A2PAD826IH1HFE,B000000AYI,4.0
A1DVA28U3U9DEX,B000000AYL,5.0
AUEHG0DB54B7K,B000000AZ2,5.0
A33GGROUQRQZS,B000000AZ2,4.0
A3CRG8NYUSK9PS,B000000AZ5,4.0
A33GGROUQRQZS,B000000AZA,4.0
AUEHG0DB54B7K,B000000B24,5.0
